"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-20","4.03",",,W","0.10",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"45",",,W","40",",,W","   60",",,W","  110",",,W","10.1",",,W","14.1",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-21","3.80",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"49",",,W","41",",,W","  270",",,W","  270",",,W","12.1",",,W","18.1",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-22","6.71",",,W","0.05",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"48",",,W","43",",,W","   60",",,W","   50",",,W","21.0",",,W","33.1",",,W","    1",",,W","    1",",,W",,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-23","18.34",",,W","1.16",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"44",",,W","36",",,W","   70",",,W","   40",",,W","33.1",",,W","47.0",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-24","10.07",",,W","1.18",",,W,2400","0.0","T,,W,2400","0",",,W,2400",,,"38",",,W","35",",,W","   50",",,W","   50",",,W","23.9",",,W","36.0",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-25","6.71",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"51",",,W","36",",,W","  310",",,W","  280",",,W","18.1",",,W","25.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-26","6.71",",,W","0.02",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"56",",,W","43",",,W","  290",",,W","  270",",,W","21.0",",,W","38.0",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-27","8.95",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"43",",,W","36",",,W","  290",",,W","  260",",,W","18.1",",,W","33.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-28","7.83",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"39",",,W","34",",,W","  270",",,W","  260",",,W","16.1",",,W","27.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-29","5.82",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"43",",,W","35",",,W","  260",",,W","  260",",,W","15.0",",,W","23.9",",,W",,,,,,,,,,
